priceid,Country ID,Country,Operator,Operator ID,Product,Product Currency,cust_currency,wholesale_price,Local Amount Received
9155,661,Afghanistan,Afghan Wireless Afghanistan,1871,25,AFN,USD,0.41,AFN 22.50
9156,661,Afghanistan,Afghan Wireless Afghanistan,1871,30,AFN,USD,0.49,AFN 27.00
9157,661,Afghanistan,Afghan Wireless Afghanistan,1871,35,AFN,USD,0.56,AFN 31.50
9158,661,Afghanistan,Afghan Wireless Afghanistan,1871,40,AFN,USD,0.64,AFN 36.00
9159,661,Afghanistan,Afghan Wireless Afghanistan,1871,45,AFN,USD,0.72,AFN 40.50
9101,661,Afghanistan,Afghan Wireless Afghanistan,1871,50,AFN,USD,0.79,AFN 45.00
9100,661,Afghanistan,Afghan Wireless Afghanistan,1871,55,AFN,USD,0.87,AFN 49.50
9102,661,Afghanistan,Afghan Wireless Afghanistan,1871,60,AFN,USD,0.95,AFN 54.00
9160,661,Afghanistan,Afghan Wireless Afghanistan,1871,65,AFN,USD,1.02,AFN 58.50
9103,661,Afghanistan,Afghan Wireless Afghanistan,1871,70,AFN,USD,1.1,AFN 63.00
9161,661,Afghanistan,Afghan Wireless Afghanistan,1871,75,AFN,USD,1.18,AFN 67.50
9104,661,Afghanistan,Afghan Wireless Afghanistan,1871,80,AFN,USD,1.26,AFN 72.00
9162,661,Afghanistan,Afghan Wireless Afghanistan,1871,85,AFN,USD,1.33,AFN 76.50
9105,661,Afghanistan,Afghan Wireless Afghanistan,1871,90,AFN,USD,1.41,AFN 81.00
9163,661,Afghanistan,Afghan Wireless Afghanistan,1871,95,AFN,USD,1.49,AFN 85.50
9106,661,Afghanistan,Afghan Wireless Afghanistan,1871,100,AFN,USD,1.56,AFN 90.00
9164,661,Afghanistan,Afghan Wireless Afghanistan,1871,105,AFN,USD,1.64,AFN 94.50
9165,661,Afghanistan,Afghan Wireless Afghanistan,1871,110,AFN,USD,1.72,AFN 99.00
9166,661,Afghanistan,Afghan Wireless Afghanistan,1871,115,AFN,USD,1.8,AFN 103.50
9167,661,Afghanistan,Afghan Wireless Afghanistan,1871,120,AFN,USD,1.87,AFN 108.00
9168,661,Afghanistan,Afghan Wireless Afghanistan,1871,125,AFN,USD,1.95,AFN 112.50
9169,661,Afghanistan,Afghan Wireless Afghanistan,1871,130,AFN,USD,2.03,AFN 117.00
9170,661,Afghanistan,Afghan Wireless Afghanistan,1871,140,AFN,USD,2.18,AFN 126.00
9171,661,Afghanistan,Afghan Wireless Afghanistan,1871,150,AFN,USD,2.33,AFN 135.00
9172,661,Afghanistan,Afghan Wireless Afghanistan,1871,175,AFN,USD,2.72,AFN 157.50
9107,661,Afghanistan,Afghan Wireless Afghanistan,1871,200,AFN,USD,3.11,AFN 180.00
9173,661,Afghanistan,Afghan Wireless Afghanistan,1871,225,AFN,USD,3.49,AFN 202.50
9174,661,Afghanistan,Afghan Wireless Afghanistan,1871,250,AFN,USD,3.88,AFN 225.00
9175,661,Afghanistan,Afghan Wireless Afghanistan,1871,275,AFN,USD,4.26,AFN 247.50
9108,661,Afghanistan,Afghan Wireless Afghanistan,1871,300,AFN,USD,4.65,AFN 270.00
9176,661,Afghanistan,Afghan Wireless Afghanistan,1871,325,AFN,USD,5.03,AFN 292.50
9177,661,Afghanistan,Afghan Wireless Afghanistan,1871,350,AFN,USD,5.42,AFN 315.00
9178,661,Afghanistan,Afghan Wireless Afghanistan,1871,375,AFN,USD,5.8,AFN 337.50
9109,661,Afghanistan,Afghan Wireless Afghanistan,1871,400,AFN,USD,6.19,AFN 360.00
9179,661,Afghanistan,Afghan Wireless Afghanistan,1871,425,AFN,USD,6.57,AFN 382.50
9180,661,Afghanistan,Afghan Wireless Afghanistan,1871,450,AFN,USD,6.96,AFN 405.00
9181,661,Afghanistan,Afghan Wireless Afghanistan,1871,475,AFN,USD,7.34,AFN 427.50
9110,661,Afghanistan,Afghan Wireless Afghanistan,1871,500,AFN,USD,7.73,AFN 450.00
9182,661,Afghanistan,Afghan Wireless Afghanistan,1871,525,AFN,USD,8.11,AFN 472.50
9183,661,Afghanistan,Afghan Wireless Afghanistan,1871,550,AFN,USD,8.5,AFN 495.00
9184,661,Afghanistan,Afghan Wireless Afghanistan,1871,575,AFN,USD,8.89,AFN 517.50
9185,661,Afghanistan,Afghan Wireless Afghanistan,1871,600,AFN,USD,9.27,AFN 540.00
9187,661,Afghanistan,Afghan Wireless Afghanistan,1871,625,AFN,USD,9.66,AFN 562.50
9186,661,Afghanistan,Afghan Wireless Afghanistan,1871,650,AFN,USD,10.04,AFN 585.00
9188,661,Afghanistan,Afghan Wireless Afghanistan,1871,675,AFN,USD,10.43,AFN 607.50
9190,661,Afghanistan,Afghan Wireless Afghanistan,1871,700,AFN,USD,10.81,AFN 630.00
9191,661,Afghanistan,Afghan Wireless Afghanistan,1871,725,AFN,USD,11.2,AFN 652.50
9189,661,Afghanistan,Afghan Wireless Afghanistan,1871,750,AFN,USD,11.58,AFN 675.00
9192,661,Afghanistan,Afghan Wireless Afghanistan,1871,775,AFN,USD,11.97,AFN 697.50
9193,661,Afghanistan,Afghan Wireless Afghanistan,1871,800,AFN,USD,12.35,AFN 720.00
9195,661,Afghanistan,Afghan Wireless Afghanistan,1871,825,AFN,USD,12.74,AFN 742.50
9194,661,Afghanistan,Afghan Wireless Afghanistan,1871,850,AFN,USD,13.12,AFN 765.00
9196,661,Afghanistan,Afghan Wireless Afghanistan,1871,875,AFN,USD,13.51,AFN 787.50
9197,661,Afghanistan,Afghan Wireless Afghanistan,1871,900,AFN,USD,13.89,AFN 810.00
9199,661,Afghanistan,Afghan Wireless Afghanistan,1871,925,AFN,USD,14.28,AFN 832.50
9198,661,Afghanistan,Afghan Wireless Afghanistan,1871,950,AFN,USD,14.67,AFN 855.00
9200,661,Afghanistan,Afghan Wireless Afghanistan,1871,975,AFN,USD,15.05,AFN 877.50
9111,661,Afghanistan,Afghan Wireless Afghanistan,1871,1000,AFN,USD,15.44,AFN 900.00
9201,661,Afghanistan,Afghan Wireless Afghanistan,1871,1050,AFN,USD,16.21,AFN 945.00
9202,661,Afghanistan,Afghan Wireless Afghanistan,1871,1100,AFN,USD,16.98,AFN 990.00
9203,661,Afghanistan,Afghan Wireless Afghanistan,1871,1150,AFN,USD,17.75,AFN 1035.00
9204,661,Afghanistan,Afghan Wireless Afghanistan,1871,1200,AFN,USD,18.52,AFN 1080.00
9205,661,Afghanistan,Afghan Wireless Afghanistan,1871,1250,AFN,USD,19.29,AFN 1125.00
9206,661,Afghanistan,Afghan Wireless Afghanistan,1871,1300,AFN,USD,20.06,AFN 1170.00
9207,661,Afghanistan,Afghan Wireless Afghanistan,1871,1350,AFN,USD,20.83,AFN 1215.00
9208,661,Afghanistan,Afghan Wireless Afghanistan,1871,1400,AFN,USD,21.6,AFN 1260.00
9209,661,Afghanistan,Afghan Wireless Afghanistan,1871,1450,AFN,USD,22.37,AFN 1305.00
9210,661,Afghanistan,Afghan Wireless Afghanistan,1871,1500,AFN,USD,23.14,AFN 1350.00
9211,661,Afghanistan,Afghan Wireless Afghanistan,1871,1550,AFN,USD,23.91,AFN 1395.00
